perovskite,BG,Cs,FA,MA,Pb,Sn,I,Br
Cs0.05FA0.79MA0.16PbI3,1.54,0.05,0.79,0.16,1,0,3,0
Cs0.05FA0.79MA0.16SnBr0.5I2.5,1.45,0.05,0.79,0.16,0,1,2.5,0.5
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,1.6,0.05,0.8075,0.1425,1,0,2.55,0.45
Cs0.05FA0.80MA0.15PbBr0.45I2.55,1.59,0.05,0.8,0.15,1,0,2.55,0.45
Cs0.05FA0.81MA0.14PbBr0.39I2.61,1.59,0.05,0.81,0.14,1,0,2.61,0.39
Cs0.05FA0.81MA0.14PbBr0.42I2.58,1.61,0.05,0.81,0.14,1,0,2.58,0.42
Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.63,0.05,0.81,0.14,1,0,2.55,0.45
Cs0.05FA0.81MA0.14PbBr0.4I2.6,1.61,0.05,0.81,0.14,1,0,2.6,0.4
Cs0.05FA0.83MA0.12PbBr0.36I2.64,1.61,0.05,0.83,0.12,1,0,2.64,0.36
Cs0.05FA0.83MA0.12PbBr0.39I2.61,1.6,0.05,0.83,0.12,1,0,2.61,0.39
Cs0.05FA0.83MA0.12PbBr0.49I2.51,1.6,0.05,0.83,0.12,1,0,2.51,0.49
Cs0.05FA0.83MA0.12PbBr0.51I2.49,1.63,0.05,0.83,0.12,1,0,2.49,0.51
Cs0.05FA0.83MA0.17PbBr0.51I2.49,1.6,0.05,0.83,0.17,1,0,2.49,0.51
Cs0.05FA0.85MA0.15PbBr0.45I2.55,1.58,0.05,0.85,0.15,1,0,2.55,0.45
Cs0.05FA0.85MA0.1PbBr0.03I2.97,1.598,0.05,0.85,0.1,1,0,2.97,0.03
Cs0.05FA0.85MA0.1PbBr0.45I2.45,1.59,0.05,0.85,0.1,1,0,2.45,0.45
Cs0.05FA0.85MA0.1PbBr3.0,2.28,0.05,0.85,0.1,1,0,0,3
Cs0.05FA0.8MA0.15PbBr0.15I2.85,1.617,0.05,0.8,0.15,1,0,2.85,0.15
Cs0.05FA0.8MA0.15PbBr0.45I2.55,1.6,0.05,0.8,0.15,1,0,2.55,0.45
Cs0.05FA0.8MA0.15PbBr0.55I2.55,1.61,0.05,0.8,0.15,1,0,2.55,0.55
Cs0.05FA0.91MA0.04PbBr0.15I2.85,1.54,0.05,0.91,0.04,1,0,2.85,0.15
Cs0.05FA0.94MA0.01PbBr0.03I2.97,1.55,0.05,0.94,0.01,1,0,2.97,0.03
Cs0.05FA0.95PbBr0.15I2.85,1.55,0.05,0.95,0,1,0,2.85,0.15
Cs0.05FA0.95PbI3,1.54,0.05,0.95,0,1,0,3,0
Cs0.05MA0.95PbBr1.2I1.8,1.82,0.05,0,0.95,1,0,1.8,1.2
Cs0.05MA0.95PbI3,1.51,0.05,0,0.95,1,0,3,0
Cs0.06FA0.78MA0.16PbBr0.51I2.49,1.63,0.06,0.78,0.16,1,0,2.49,0.51
Cs0.06FA0.79MA0.15PbBr0.45I2.55,1.61,0.06,0.79,0.15,1,0,2.55,0.45
Cs0.06FA0.79MA0.15PbBr1.8I1.2,1.78,0.06,0.79,0.15,1,0,1.2,1.8
Cs0.07FA0.73MA0.20PbBr0.47I2.53,1.6,0.07,0.73,0.2,1,0,2.53,0.47
Cs0.07FA0.77MA0.16PbBr0.50I2.50,1.639,0.07,0.77,0.16,1,0,2.5,0.5
Cs0.07FA0.785MA0.115PbBr0.45I2.55,1.58,0.07,0.785,0.115,1,0,2.55,0.45
Cs0.07FA0.78MA0.15PbBr0.45I2.55,1.61,0.07,0.78,0.15,1,0,2.55,0.45
Cs0.07FA0.79MA0.14PbBr0.45I2.55,1.5,0.07,0.79,0.14,1,0,2.55,0.45
Cs0.07FA0.93PbBr0.15I2.85,1.62,0.07,0.93,0,1,0,2.85,0.15
Cs0.07FA0.93PbI3,1.54,0.07,0.93,0,1,0,3,0
Cs0.085FA0.915PbBr0.45I2.55,1.625,0.085,0.915,0,1,0,2.55,0.45
Cs0.08FA0.55MA0.37PbI3,1.53,0.08,0.55,0.37,1,0,3,0
Cs0.08FA0.77MA0.15PbBr0.51I2.49,1.6,0.08,0.77,0.15,1,0,2.49,0.51
Cs0.08FA0.78MA0.14PbBr0.42I2.58,1.61,0.08,0.78,0.14,1,0,2.58,0.42
Cs0.08FA0.92PbI3,1.51,0.08,0.92,0,1,0,3,0
Cs0.09FA0.58MA0.33PbBr0.65I2.35,1.59,0.09,0.58,0.33,1,0,2.35,0.65
Cs0.09MA0.91PbI3,1.59,0.09,0,0.91,1,0,3,0
Cs0.10FA0.75MA0.15PbBr0.51I2.49,1.63,0.1,0.75,0.15,1,0,2.49,0.51
Cs0.10FA0.81MA0.09PbBr0.03I2.97,1.6,0.1,0.81,0.09,1,0,2.97,0.03
Cs0.10FA0.83MA0.07PbBr0.51I2.49,1.63,0.1,0.83,0.07,1,0,2.49,0.51
Cs0.10MA0.90PbI3,1.54,0.1,0,0.9,1,0,3,0
Cs0.11MA0.89PbI3,1.62,0.11,0,0.89,1,0,3,0
Cs0.125FA0.875PbBr0.375I2.625,1.57,0.125,0.875,0,1,0,2.625,0.375
Cs0.12FA0.5MA0.38PbBr0.96I2.04,1.72,0.12,0.5,0.38,1,0,2.04,0.96
