perovskite,BG,Cs,FA,MA,Pb,Sn,I,Br
CsSnBrI2,1.37,1,0,0,0,1,2,1
CsSnI3,1.3,1,0,0,0,1,3,0
FA0.026MA0.974PbI3,1.516,0,0.026,0.974,1,0,3,0
FA0.02MA0.98PbI3,1.51,0,0.02,0.98,1,0,3,0
FA0.05MA0.95PbI3,1.5,0,0.05,0.95,1,0,3,0
FA0.125MA0.875PbBrI2,1.71,0,0.125,0.875,1,0,2,1
FA0.125MA0.875PbI3,1.55,0,0.125,0.875,1,0,3,0
FA0.15MA0.85PbBr0.45I2.55,1.53,0,0.15,0.85,1,0,2.55,0.45
FA0.15MA0.85PbI3,1.63,0,0.15,0.85,1,0,3,0
FA0.17MA0.83PbBr0.5I2.5,1.625,0,0.17,0.83,1,0,2.5,0.5
FA0.17MA0.83PbBr1.5I1.5,1.858,0,0.17,0.83,1,0,1.5,1.5
FA0.17MA0.83PbBr2.5I0.5,2.153,0,0.17,0.83,1,0,0.5,2.5
FA0.17MA0.83PbBr2I,1.989,0,0.17,0.83,1,0,1,2
FA0.17MA0.83PbBr3,2.296,0,0.17,0.83,1,0,0,3
FA0.17MA0.83PbBrI2,1.764,0,0.17,0.83,1,0,2,1
FA0.17MA0.83PbI3,1.588,0,0.17,0.83,1,0,3,0
FA0.1MA0.9Pb0.9Sn0.1I3,1.44,0,0.1,0.9,0.9,0.1,3,0
FA0.1MA0.9PbBr2.7I0.3,2.14,0,0.1,0.9,1,0,0.3,2.7
FA0.1MA0.9PbI3,1.51,0,0.1,0.9,1,0,3,0
FA0.25MA0.75Pb0.75Sn0.25I3,1.33,0,0.25,0.75,0.75,0.25,3,0
FA0.25MA0.75PbI3,1.54,0,0.25,0.75,1,0,3,0
FA0.25MA0.75SnI3,1.28,0,0.25,0.75,0,1,3,0
FA0.2MA0.8PbI3,1.5,0,0.2,0.8,1,0,3,0
FA0.33MA0.66Pb0.66Sn0.33I3,1.3,0,0.33,0.66,0.66,0.33,3,0
FA0.3MA0.7Pb1.0I3,1.55,0,0.3,0.7,1,0,3,0
FA0.3MA0.7PbBr0.15I2.85,1.6,0,0.3,0.7,1,0,2.85,0.15
FA0.3MA0.7PbBr0.3I2.7,1.59,0,0.3,0.7,1,0,2.7,0.3
FA0.3MA0.7PbBr0.45I2.55,1.66,0,0.3,0.7,1,0,2.55,0.45
FA0.3MA0.7PbBr0.6I2.4,1.69,0,0.3,0.7,1,0,2.4,0.6
FA0.3MA0.7PbBr2.1I0.9,2.03,0,0.3,0.7,1,0,0.9,2.1
FA0.3MA0.7PbI3,1.57,0,0.3,0.7,1,0,3,0
FA0.44MA0.56PbBr0.33I2.67,1.62,0,0.44,0.56,1,0,2.67,0.33
FA0.48MA0.52PbI3,1.62,0,0.48,0.52,1,0,3,0
FA0.4MA0.6PbBr0.025I2.975,1.6,0,0.4,0.6,1,0,2.975,0.025
FA0.4MA0.6PbBr0.1I2.9,1.56,0,0.4,0.6,1,0,2.9,0.1
FA0.4MA0.6PbBr0.2I2.8,1.58,0,0.4,0.6,1,0,2.8,0.2
FA0.4MA0.6PbBr0.6I2.4,1.68,0,0.4,0.6,1,0,2.4,0.6
FA0.4MA0.6PbI3,1.54,0,0.4,0.6,1,0,3,0
FA0.5MA0.5Pb0.5Sn0.5I3,1.25,0,0.5,0.5,0.5,0.5,3,0
FA0.5MA0.5Pb0.75Sn0.25I3,1.33,0,0.5,0.5,0.75,0.25,3,0
FA0.5MA0.5PbBr0.5I2.5,1.612,0,0.5,0.5,1,0,2.5,0.5
FA0.5MA0.5PbBr1.5I1.5,1.82,0,0.5,0.5,1,0,1.5,1.5
FA0.5MA0.5PbBr2.5I0.5,2.141,0,0.5,0.5,1,0,0.5,2.5
FA0.5MA0.5PbBr2I,1.957,0,0.5,0.5,1,0,1,2
FA0.5MA0.5PbBr3,2.28,0,0.5,0.5,1,0,0,3
FA0.5MA0.5PbBrI2,1.751,0,0.5,0.5,1,0,2,1
FA0.5MA0.5PbI3,1.6,0,0.5,0.5,1,0,3,0
FA0.5MA0.5SnI3,1.38,0,0.5,0.5,0,1,3,0
FA0.65MA0.35PbI3,1.52,0,0.65,0.35,1,0,3,0
FA0.66MA0.34PbBr0.42I2.58,1.62,0,0.66,0.34,1,0,2.58,0.42
FA0.66MA0.34PbI3,1.533,0,0.66,0.34,1,0,3,0
FA0.67MA0.33PbBr0.5I2.5,1.638,0,0.67,0.33,1,0,2.5,0.5
FA0.67MA0.33PbBr1.5I1.5,1.848,0,0.67,0.33,1,0,1.5,1.5
FA0.67MA0.33PbBr2.5I0.5,2.115,0,0.67,0.33,1,0,0.5,2.5
FA0.67MA0.33PbBr2I,1.969,0,0.67,0.33,1,0,1,2
FA0.67MA0.33PbBr3,2.28,0,0.67,0.33,1,0,0,3
FA0.67MA0.33PbBrI2,1.682,0,0.67,0.33,1,0,2,1
FA0.67MA0.33PbI3,1.528,0,0.67,0.33,1,0,3,0
FA0.6MA0.4Pb0.4Sn0.6Br0.12I2.88,1.26,0,0.6,0.4,0.4,0.6,2.88,0.12
FA0.6MA0.4Pb0.4Sn0.6Br0.18I2.82,1.272,0,0.6,0.4,0.4,0.6,2.82,0.18
FA0.6MA0.4Pb0.4Sn0.6Br0.24I2.76,1.28,0,0.6,0.4,0.4,0.6,2.76,0.24
FA0.6MA0.4Pb0.4Sn0.6Br0.3I2.7,1.33,0,0.6,0.4,0.4,0.6,2.7,0.3
FA0.6MA0.4Pb0.4Sn0.6Br0.48I2.52,1.32,0,0.6,0.4,0.4,0.6,2.52,0.48
FA0.6MA0.4Pb0.4Sn0.6I3,1.25,0,0.6,0.4,0.4,0.6,3,0
FA0.6MA0.4PbBr0.4I2.6,1.58,0,0.6,0.4,1,0,2.6,0.4
FA0.6MA0.4PbI3,1.54,0,0.6,0.4,1,0,3,0
FA0.71MA0.29PbBr0.42I2.58,1.62,0,0.71,0.29,1,0,2.58,0.42
FA0.75MA0.25Pb0.75Sn0.25I3,1.33,0,0.75,0.25,0.75,0.25,3,0
FA0.75MA0.25PbBr0.45I2.55,1.62,0,0.75,0.25,1,0,2.55,0.45
FA0.75MA0.25PbBr0.51I2.49,1.65,0,0.75,0.25,1,0,2.49,0.51
FA0.75MA0.25PbBr0.75I2.25,1.61,0,0.75,0.25,1,0,2.25,0.75
FA0.75MA0.25PbI3,1.53,0,0.75,0.25,1,0,3,0
FA0.75MA0.25SnI3,1.36,0,0.75,0.25,0,1,3,0
FA0.7MA0.3Pb0.5Sn0.5I3,1.22,0,0.7,0.3,0.5,0.5,3,0
FA0.7MA0.3Pb0.7Sn0.3I3,1.26,0,0.7,0.3,0.7,0.3,3,0
FA0.7MA0.3PbBr0.10I2.90,1.58,0,0.7,0.3,1,0,2.9,0.1
FA0.7MA0.3PbBr0.9I2.1,1.71,0,0.7,0.3,1,0,2.1,0.9
FA0.7MA0.3PbI3,1.6,0,0.7,0.3,1,0,3,0
FA0.81MA0.19PbBr0.54I2.46,1.62,0,0.81,0.19,1,0,2.46,0.54
FA0.82MA0.18PbBr0.53I2.47,1.64,0,0.82,0.18,1,0,2.47,0.53
FA0.83MA0.17PbBr0.03I2.97,1.6,0,0.83,0.17,1,0,2.97,0.03
FA0.83MA0.17PbBr0.33I2.67,1.59,0,0.83,0.17,1,0,2.67,0.33
FA0.83MA0.17PbBr0.39I2.61,1.6,0,0.83,0.17,1,0,2.61,0.39
FA0.83MA0.17PbBr0.46I2.54,1.57,0,0.83,0.17,1,0,2.54,0.46
FA0.83MA0.17PbBr0.47I2.53,1.61,0,0.83,0.17,1,0,2.53,0.47
FA0.83MA0.17PbBr0.49I2.51,1.6,0,0.83,0.17,1,0,2.51,0.49
FA0.83MA0.17PbBr0.50I2.50,1.627,0,0.83,0.17,1,0,2.5,0.5
FA0.83MA0.17PbBr0.51I2.49,1.62,0,0.83,0.17,1,0,2.49,0.51
FA0.83MA0.17PbBr0.51I2.59,1.6,0,0.83,0.17,1,0,2.59,0.51
FA0.83MA0.17PbBr0.52I2.48,1.64,0,0.83,0.17,1,0,2.48,0.52
FA0.83MA0.17PbBr0.5I2.5,1.6,0,0.83,0.17,1,0,2.5,0.5
FA0.83MA0.17PbBr1.2I1.8,1.72,0,0.83,0.17,1,0,1.8,1.2
FA0.83MA0.17PbBr1.5I1.5,1.84,0,0.83,0.17,1,0,1.5,1.5
FA0.83MA0.17PbBr2.5I0.5,2.113,0,0.83,0.17,1,0,0.5,2.5
FA0.83MA0.17PbBr2I,1.976,0,0.83,0.17,1,0,1,2
FA0.83MA0.17PbBr3,2.278,0,0.83,0.17,1,0,0,3
FA0.83MA0.17PbBrI2,1.684,0,0.83,0.17,1,0,2,1
FA0.83MA0.17PbI3,1.53,0,0.83,0.17,1,0,3,0
FA0.84MA0.16PbBr0.4I2.6,1.53,0,0.84,0.16,1,0,2.6,0.4
FA0.84MA0.16PbBr0.50I2.50,1.65,0,0.84,0.16,1,0,2.5,0.5
FA0.84MA0.16PbBr0.51I2.49,1.64,0,0.84,0.16,1,0,2.49,0.51
FA0.85MA0.15Pb1.0Br0.45I2.55,1.59,0,0.85,0.15,1,0,2.55,0.45
FA0.85MA0.15PbBr0.21I2.79,1.56,0,0.85,0.15,1,0,2.79,0.21
FA0.85MA0.15PbBr0.45I2.55,1.6,0,0.85,0.15,1,0,2.55,0.45
FA0.85MA0.15PbBr0.50I2.50,1.65,0,0.85,0.15,1,0,2.5,0.5
FA0.85MA0.15PbBr0.55I2.55,1.58,0,0.85,0.15,1,0,2.55,0.55
FA0.85MA0.15PbBr0.5I2.5,1.627,0,0.85,0.15,1,0,2.5,0.5
FA0.85MA0.15PbBr0.6I2.4,1.616,0,0.85,0.15,1,0,2.4,0.6
FA0.85MA0.15PbI3,1.56,0,0.85,0.15,1,0,3,0
FA0.87MA0.13PbI3,1.5,0,0.87,0.13,1,0,3,0
FA0.88MA0.12PbI3,1.53,0,0.88,0.12,1,0,3,0
FA0.8MA0.2PbBr0.2I2.8,1.53,0,0.8,0.2,1,0,2.8,0.2
FA0.8MA0.2PbBr0.6I2.4,1.61,0,0.8,0.2,1,0,2.4,0.6
FA0.8MA0.2PbBr0.6I2.40,1.5,0,0.8,0.2,1,0,2.4,0.6
FA0.8MA0.2PbI3,1.35,0,0.8,0.2,1,0,3,0
FA0.92MA0.08PbBr0.24I2.76,1.56,0,0.92,0.08,1,0,2.76,0.24
FA0.92MA0.08PbI3,1.55,0,0.92,0.08,1,0,3,0
FA0.93MA0.03PbBr0.09I2.91,1.55,0,0.93,0.03,1,0,2.91,0.09
FA0.95MA0.05PbBr0.15I2.85,1.51,0,0.95,0.05,1,0,2.85,0.15
FA0.96MA0.04PbBr0.12I2.88,1.48,0,0.96,0.04,1,0,2.88,0.12
FA0.975MA0.025PbI3,1.48,0,0.975,0.025,1,0,3,0
FA0.976MA0.024PbBr0.075I2.925,1.54,0,0.976,0.024,1,0,2.925,0.075
FA0.992MA0.008PbBr0.024I2.976,1.56,0,0.992,0.008,1,0,2.976,0.024
FA0.9MA0.1PbBr0.03I2.97,1.581,0,0.9,0.1,1,0,2.97,0.03
FA0.9MA0.1PbBr0.1I2.9,1.56,0,0.9,0.1,1,0,2.9,0.1
FA0.9MA0.1PbBr0.3I2.7,1.5,0,0.9,0.1,1,0,2.7,0.3
FA0.9MA0.1PbI3,1.525,0,0.9,0.1,1,0,3,0
FAPb0.125Sn0.875I3,1.25,0,1,0,0.125,0.875,3,0
FAPb0.25Sn0.75I3,1.21,0,1,0,0.25,0.75,3,0
FAPb0.2Sn0.8I3,1.29,0,1,0,0.2,0.8,3,0
FAPb0.375Sn0.625I3,1.21,0,1,0,0.375,0.625,3,0
FAPb0.4Sn0.6I3,1.29,0,1,0,0.4,0.6,3,0
FAPb0.5Sn0.5I3,1.17,0,1,0,0.5,0.5,3,0
FAPb0.625Sn0.375I3,1.24,0,1,0,0.625,0.375,3,0
FAPb0.75Sn0.25I3,1.31,0,1,0,0.75,0.25,3,0
FAPb0.7Sn0.3I3,1.34,0,1,0,0.7,0.3,3,0
FAPb0.875Sn0.125I3,1.33,0,1,0,0.875,0.125,3,0
FAPb0.9Sn0.1I3,1.43,0,1,0,0.9,0.1,3,0
FAPb1.0I3,1.48,0,1,0,1,0,3,0
FAPbBr0.15I2.85,1.62,0,1,0,1,0,2.85,0.15
FAPbBr0.5I2.5,1.965,0,1,0,1,0,2.5,0.5
FAPbBr0.6I2.4,1.57,0,1,0,1,0,2.4,0.6
FAPbBr1.5I1.5,1.91,0,1,0,1,0,1.5,1.5
FAPbBr2.5I0.5,2.105,0,1,0,1,0,0.5,2.5
FAPbBr2I,1.969,0,1,0,1,0,1,2
FAPbBr3,2.26,0,1,0,1,0,0,3
FAPbBrI2,2.268,0,1,0,1,0,2,1
FAPbI3,1.48,0,1,0,1,0,3,0
FASn1.0I3,1.4,0,1,0,0,1,3,0
FASnBr0.24I2.76,1.47,0,1,0,0,1,2.76,0.24
FASnBr0.5I2.5,1.53,0,1,0,0,1,2.5,0.5
FASnBr0.75I2.25,1.63,0,1,0,0,1,2.25,0.75
FASnBr3,1.6,0,1,0,0,1,0,3
FASnBrI2,1.55,0,1,0,0,1,2,1
FASnI3,1.4,0,1,0,0,1,3,0
MA0.98PbI3,1.59,0,0,0.98,1,0,3,0
MAPb0.125Sn0.875I3,1.18,0,0,1,0.125,0.875,3,0
MAPb0.25Sn0.75Br1.2I1.8,1.34,0,0,1,0.25,0.75,1.8,1.2
MAPb0.25Sn0.75I3,1.25,0,0,1,0.25,0.75,3,0
MAPb0.2Sn0.8Br0.4I2.6,1.26,0,0,1,0.2,0.8,2.6,0.4
MAPb0.2Sn0.8I3,1.189,0,0,1,0.2,0.8,3,0
MAPb0.375Sn0.625I3,1.2,0,0,1,0.375,0.625,3,0
MAPb0.38Sn0.62I3,1.22,0,0,1,0.38,0.62,3,0
MAPb0.3Sn0.7I3,1.17,0,0,1,0.3,0.7,3,0
MAPb0.4Sn0.6Br0.4I2.6,1.26,0,0,1,0.4,0.6,2.6,0.4
MAPb0.4Sn0.6Br0.6I2.4,1.24,0,0,1,0.4,0.6,2.4,0.6
MAPb0.4Sn0.6Br0.9I2.1,1.25,0,0,1,0.4,0.6,2.1,0.9
MAPb0.4Sn0.6Br1.2I1.8,1.26,0,0,1,0.4,0.6,1.8,1.2
MAPb0.4Sn0.6Br1.5I1.5,1.27,0,0,1,0.4,0.6,1.5,1.5
MAPb0.4Sn0.6Br1.8I1.2,1.29,0,0,1,0.4,0.6,1.2,1.8
MAPb0.4Sn0.6Br2.1I0.9,1.3,0,0,1,0.4,0.6,0.9,2.1
MAPb0.4Sn0.6Br2.4I0.6,1.32,0,0,1,0.4,0.6,0.6,2.4
MAPb0.4Sn0.6I3,1.27,0,0,1,0.4,0.6,3,0
MAPb0.50Sn0.50Br1.2I1.8,1.48,0,0,1,0.5,0.5,1.8,1.2
MAPb0.5Sn0.5Br0.6I2.4,1.35,0,0,1,0.5,0.5,2.4,0.6
MAPb0.5Sn0.5I3,1.22,0,0,1,0.5,0.5,3,0
MAPb0.625Sn0.375I3,1.25,0,0,1,0.625,0.375,3,0
MAPb0.65Sn0.35I3,1.25,0,0,1,0.65,0.35,3,0
MAPb0.6Sn0.4Br0.4I2.6,1.26,0,0,1,0.6,0.4,2.6,0.4
MAPb0.6Sn0.4I3,1.39,0,0,1,0.6,0.4,3,0
MAPb0.75Sn0.25Br0.3I2.7,1.43,0,0,1,0.75,0.25,2.7,0.3
MAPb0.75Sn0.25Br0.6I2.4,1.48,0,0,1,0.75,0.25,2.4,0.6
MAPb0.75Sn0.25Br0.9I2.1,1.53,0,0,1,0.75,0.25,2.1,0.9
MAPb0.75Sn0.25Br1.2I1.8,1.59,0,0,1,0.75,0.25,1.8,1.2
MAPb0.75Sn0.25Br1.5I1.5,1.65,0,0,1,0.75,0.25,1.5,1.5
MAPb0.75Sn0.25Br1.8I1.2,1.73,0,0,1,0.75,0.25,1.2,1.8
MAPb0.75Sn0.25Br2.1I0.9,1.8,0,0,1,0.75,0.25,0.9,2.1
MAPb0.75Sn0.25Br2.4I0.6,1.9,0,0,1,0.75,0.25,0.6,2.4
MAPb0.75Sn0.25Br2.7I0.3,1.99,0,0,1,0.75,0.25,0.3,2.7
MAPb0.75Sn0.25Br3,2.03,0,0,1,0.75,0.25,0,3
MAPb0.75Sn0.25I3,1.24,0,0,1,0.75,0.25,3,0
MAPb0.7Sn0.255I3,1.3,0,0,1,0.7,0.255,3,0
MAPb0.7Sn0.3I3,1.2,0,0,1,0.7,0.3,3,0
MAPb0.85Sn0.15I3,1.28,0,0,1,0.85,0.15,3,0
MAPb0.875Sn0.125I3,1.42,0,0,1,0.875,0.125,3,0
MAPb0.8Sn0.2Br0.4I2.6,1.26,0,0,1,0.8,0.2,2.6,0.4
MAPb0.8Sn0.2I3,1.5,0,0,1,0.8,0.2,3,0
MAPb0.93I3,1.44,0,0,1,0.93,0,3,0
MAPb0.95Sn0.05I3,1.5,0,0,1,0.95,0.05,3,0
MAPb0.9Sn0.1I3,1.31,0,0,1,0.9,0.1,3,0
MAPb1.0Br0.15I2.85,1.57,0,0,1,1,0,2.85,0.15
MAPb1.0Br0.33I2.66,1.65,0,0,1,1,0,2.66,0.33
MAPb1.0Br0.3I2.7,1.58,0,0,1,1,0,2.7,0.3
MAPb1.0Br0.45I2.55,1.6,0,0,1,1,0,2.55,0.45
MAPb1.0Br0.66I2.33,1.58,0,0,1,1,0,2.33,0.66
MAPb1.0Br0.6I2.4,1.62,0,0,1,1,0,2.4,0.6
MAPb1.0Br1.5I1.5,1.72,0,0,1,1,0,1.5,1.5
MAPb1.0Br3,2.1,0,0,1,1,0,0,3
MAPb1.0BrI2,1.6,0,0,1,1,0,2,1
MAPb1.0I3,1.55,0,0,1,1,0,3,0
MAPbBr0.02I2.98,1.6,0,0,1,1,0,2.98,0.02
MAPbBr0.033I2.97,1.6,0,0,1,1,0,2.97,0.033
MAPbBr0.03I2.97,1.6,0,0,1,1,0,2.97,0.03
MAPbBr0.05I2.95,1.57,0,0,1,1,0,2.95,0.05
MAPbBr0.066I2.93,1.61,0,0,1,1,0,2.93,0.066
MAPbBr0.075I2.925,1.61,0,0,1,1,0,2.925,0.075
MAPbBr0.075I2.95,1.6,0,0,1,1,0,2.95,0.075
MAPbBr0.083I2.92,1.61,0,0,1,1,0,2.92,0.083
MAPbBr0.08I2.92,1.6,0,0,1,1,0,2.92,0.08
MAPbBr0.09I2.91,1.61,0,0,1,1,0,2.91,0.09
MAPbBr0.11I2.89,1.585,0,0,1,1,0,2.89,0.11
MAPbBr0.12I2.88,1.6,0,0,1,1,0,2.88,0.12
MAPbBr0.14I2.86,1.591,0,0,1,1,0,2.86,0.14
MAPbBr0.15I2.85,1.53,0,0,1,1,0,2.85,0.15
MAPbBr0.18I2.82,1.604,0,0,1,1,0,2.82,0.18
MAPbBr0.1I2.9,1.6,0,0,1,1,0,2.9,0.1
MAPbBr0.225I2.775,1.6,0,0,1,1,0,2.775,0.225
MAPbBr0.25I2.75,1.65,0,0,1,1,0,2.75,0.25
MAPbBr0.2I2.8,1.597,0,0,1,1,0,2.8,0.2
MAPbBr0.30I2.70,1.65,0,0,1,1,0,2.7,0.3
MAPbBr0.33I2.67,1.62,0,0,1,1,0,2.67,0.33
MAPbBr0.36I2.64,1.62,0,0,1,1,0,2.64,0.36
MAPbBr0.39I2.61,1.641,0,0,1,1,0,2.61,0.39
MAPbBr0.3I2.7,1.5,0,0,1,1,0,2.7,0.3
MAPbBr0.45I2.55,1.65,0,0,1,1,0,2.55,0.45
MAPbBr0.4I2.6,1.67,0,0,1,1,0,2.6,0.4
MAPbBr0.56I2.44,1.68,0,0,1,1,0,2.44,0.56
MAPbBr0.5I2.5,1.62,0,0,1,1,0,2.5,0.5
MAPbBr0.6I2.4,1.67,0,0,1,1,0,2.4,0.6
MAPbBr0.75I2.25,1.67,0,0,1,1,0,2.25,0.75
MAPbBr0.78I2.22,1.69,0,0,1,1,0,2.22,0.78
MAPbBr0.7I2.3,1.68,0,0,1,1,0,2.3,0.7
MAPbBr0.81I2.19,1.71,0,0,1,1,0,2.19,0.81
MAPbBr0.87I2.13,1.71,0,0,1,1,0,2.13,0.87
MAPbBr0.8I2.2,1.75,0,0,1,1,0,2.2,0.8
MAPbBr0.9I2.1,1.7,0,0,1,1,0,2.1,0.9
MAPbBr1.14I1.86,1.777,0,0,1,1,0,1.86,1.14
MAPbBr1.16I1.74,1.9,0,0,1,1,0,1.74,1.16
MAPbBr1.26I1.74,1.79,0,0,1,1,0,1.74,1.26
MAPbBr1.2I1.8,1.77,0,0,1,1,0,1.8,1.2
MAPbBr1.41I1.59,1.791,0,0,1,1,0,1.59,1.41
MAPbBr1.5I1.5,1.67,0,0,1,1,0,1.5,1.5
MAPbBr1.74I1.26,1.924,0,0,1,1,0,1.26,1.74
MAPbBr1.77I1.23,1.96,0,0,1,1,0,1.23,1.77
MAPbBr1.7I1.3,1.94,0,0,1,1,0,1.3,1.7
MAPbBr1.8I1.2,1.92,0,0,1,1,0,1.2,1.8
MAPbBr2.13I0.87,2.033,0,0,1,1,0,0.87,2.13
MAPbBr2.16I0.84,2.01,0,0,1,1,0,0.84,2.16
MAPbBr2.25I0.75,1.67,0,0,1,1,0,0.75,2.25
MAPbBr2.52I0.48,2.154,0,0,1,1,0,0.48,2.52
MAPbBr2.5I0.5,2.161,0,0,1,1,0,0.5,2.5
MAPbBr2.85I0.15,2.23,0,0,1,1,0,0.15,2.85
MAPbBr2I,1.78,0,0,1,1,0,1,2
MAPbBr3,2.3,0,0,1,1,0,0,3
MAPbBrI2,1.8,0,0,1,1,0,2,1
MAPbI3,1.6,0,0,1,1,0,3,0
MASnBr0.42I2.58,1.4,0,0,1,0,1,2.58,0.42
MASnBr0.6I2.4,1.36,0,0,1,0,1,2.4,0.6
MASnBr1.2I1.8,1.6,0,0,1,0,1,1.8,1.2
MASnBr1.5I1.5,1.57,0,0,1,0,1,1.5,1.5
MASnBr2.64I0.36,1.83,0,0,1,0,1,0.36,2.64
MASnBr2I,1.77,0,0,1,0,1,1,2
MASnBr3,2.08,0,0,1,0,1,0,3
MASnBrI2,1.46,0,0,1,0,1,2,1
MASnI3,1.34,0,0,1,0,1,3,0
