Cs,FA,MA,Pb,Sn,I,Br,BG,CBM,VBM
0,0.95,0.05,1,0,2.85,0.15,1.562,-4,-5.5
0,0.2,0.8,1,0,2.9,0.1,1.581,-4.01,-5.6
0,0,1,0,1,3,0,1.275,-3.7,-5
0,0,1,1,0,0,3,2.196,-3.69,-6
0.2,0.8,0,1,0,1.8,1.2,1.778,-3.9,-5.7
0.18,0.8,0.02,1,0,1.8,1.2,1.772,-3.81,-5.58
0,0,1,1,0,0,3,2.196,-3.42,-5.73
1,0,0,0.55,0.45,2,1,1.461,-4.07,-5.57
1,0,0,1,0,2,1,1.877,-3.88,-5.79
1,0,0,0.75,0.25,3,0,1.468,-3.91,-5.34
1,0,0,0.5,0.5,3,0,1.325,-3.63,-4.97
1,0,0,0.25,0.75,3,0,1.285,-3.63,-4.91
0,1,0,0,1,3,0,1.307,-4.55,-5.96
1,0,0,1,0,2,1,1.877,-4.16,-6.08
1,0,0,0.7,0.3,3,0,1.419,-4.1,-5.44
0.2,0.8,0,1,0,2,1,1.734,-3.82,-5.55
