iter	RMSE
117	0.1408011772
118	0.1403621465
119	0.1399864139
120	0.1394201983
121	0.1390535832
122	0.1386354929
123	0.1384155761
124	0.1381986967
125	0.1376563588
126	0.1374448704
127	0.1369171521
128	0.1365250888
129	0.1360132381
130	0.1357558259
131	0.135503004
132	0.1352546953
133	0.1349217632
134	0.1347293601
135	0.1341713148
136	0.1339358866
137	0.1334246374
138	0.1330544882
139	0.1326915481
140	0.1324669156
141	0.1321258097
142	0.1316163391
143	0.131313148
144	0.1311008184
145	0.1306922746
146	0.130337417
147	0.1300465266
148	0.1296549277
149	0.1291840097
150	0.128903464
151	0.128529182
152	0.128256165
153	0.1278082264
154	0.1275428229
155	0.127282517
156	0.1268578571
157	0.1265858905
158	0.1261745013
159	0.1260031604
160	0.125600296
161	0.1253198206
162	0.1249411122
163	0.1247778928
164	0.1243909657
165	0.1240527819
166	0.1236907354
167	0.1234135209
168	0.1231012091
169	0.1229321621
170	0.1227785075
171	0.1225610383
172	0.1223110228
173	0.1220993158
174	0.1218559598
175	0.1217113996
176	0.1215067119
177	0.1213656664
178	0.1212260709
179	0.1209937694
180	0.1207971689
181	0.120582309
182	0.1203575145
183	0.1201367889
184	0.1199486209
185	0.1197635762
186	0.1195505862
187	0.1193704461
188	0.1191933049
189	0.1189877628
190	0.1187882848
191	0.1185876293
192	0.1183944504
193	0.1182260117
194	0.118031783
195	0.1178678079
196	0.1176787406
197	0.1175191122
198	0.1173350696
199	0.117153251
200	0.1169735493
201	0.1168206939
202	0.1166456016
203	0.1164716105
204	0.1163237653
205	0.1161543926
206	0.1160104607
207	0.1158689537
208	0.1157425432
209	0.1154506384
210	0.1153138494
211	0.1150307767
212	0.1148975894
213	0.1147365009
214	0.114463503
215	0.1143783903
216	0.1142502908
217	0.114096647
218	0.1138341067
219	0.1137101229
220	0.1135882478
221	0.1133411642
222	0.1132220628
223	0.1131280366
224	0.1129851479
225	0.1127389776
226	0.112624305
227	0.1125484566
228	0.1124363646
229	0.1122046645
230	0.1120951136
231	0.1120222156
232	0.1119151183
233	0.1116908193
234	0.1115861447
235	0.1114580349
236	0.111372701
237	0.1112651473
238	0.1111373441
239	0.1110312368
240	0.1109096573
241	0.1108058149
242	0.1107034389
243	0.1106006589
244	0.1105002563
245	0.1103663841
246	0.1102678267
247	0.1100689714
248	0.109996498
249	0.1099004628
250	0.1098057832
251	0.1097446565
252	0.1095548827
253	0.1094955943
254	0.1094077277
255	0.1093167258
256	0.1091349615
257	0.1089771256
258	0.1089206687
259	0.1088323953
260	0.1087302764
261	0.1086302944
262	0.1085443316
263	0.1084778232
264	0.1083930902
265	0.1083396861
266	0.1081716258
267	0.1081241962
268	0.1080283472
269	0.1079464949
270	0.10781988
271	0.1077395741
272	0.1076938908
273	0.1076490943
274	0.1075698926
275	0.1074493174
276	0.1074058653
277	0.1073281435
278	0.1072855085
279	0.1071308
280	0.1070892428
281	0.1070484718
282	0.107008468
283	0.1068792836
284	0.1068401853
285	0.1068018175
286	0.1066763766
287	0.1066388716
288	0.1066020622
289	0.1064802443
290	0.1064442572
291	0.1064089327
292	0.1063431415
293	0.106308571
294	0.106274632
295	0.1062413096
296	0.1062085897
297	0.1061764581
298	0.1061122201
299	0.1060807654
300	0.1060498718
301	0.1060195263
302	0.1059897164
303	0.1059604299
304	0.1058976905
305	0.1058690127
306	0.1058408342
307	0.1058131437
308	0.1057859303
309	0.1057591833
310	0.1057240083
311	0.1055372045
312	0.105522547
313	0.1055080298
314	0.1054936511
315	0.1054794092
316	0.1054653023
317	0.1054513287
318	0.1054374866
319	0.1054237745
320	0.1054101907
321	0.1053967336
322	0.1053834017
323	0.1053701935
324	0.1053571074
325	0.1053441419
326	0.1053312957
327	0.1053185672
328	0.1053059551
329	0.1052934581
330	0.1052810747
331	0.1052346672
332	0.10522252
333	0.1052104823
334	0.1051985529
335	0.1051867304
336	0.1051750136
337	0.1051634015
338	0.1051518927
339	0.1051404862
340	0.1051291808
341	0.1050854054
342	0.10507431
343	0.1050633122
344	0.1050524108
345	0.105041605
346	0.1049682731
347	0.1049575341
348	0.1048852268
349	0.1048745536
350	0.1048032544
351	0.1047926458
352	0.104782131
353	0.1047117946
354	0.1046899576
355	0.1046206053
356	0.1045522457
357	0.1045307613
358	0.1043571375
359	0.1043175132
360	0.104296557
361	0.1042293083
362	0.104208713
363	0.1041424033
364	0.1039734303
365	0.1039636985
366	0.1039540524
367	0.1039444912
368	0.1039350137
369	0.103925619
370	0.1039163061
371	0.1038792895
372	0.10380882
373	0.1037811746
374	0.1035964086
375	0.1034493861
376	0.1034404693
377	0.1034316289
378	0.1034048873
379	0.1033784373
380	0.1032213941
381	0.1032128721
382	0.1032044218
383	0.1031960425
384	0.1031877334
385	0.1031794938
386	0.1031713229
387	0.1031456505
388	0.1030808186
389	0.1029284024
390	0.1029032308
391	0.1028783369
392	0.1028096322
393	0.1026746545
394	0.1025292647
395	0.1025216453
396	0.1025140878
397	0.1025065913
398	0.1024991554
399	0.1024750875
400	0.1024116535
401	0.1022702019
402	0.1022466014
403	0.1022232637
404	0.1021563037
405	0.1020184536
406	0.1019257422
407	0.1018637946
408	0.1018566879
409	0.1018319964
410	0.1018006759
411	0.1017356957
412	0.1016756241
413	0.1015420302
414	0.1014529123
415	0.1013896218
416	0.1013655045
417	0.1013586761
418	0.1013519031
419	0.1013041313
420	0.1012974653
421	0.1011682469
422	0.1011617438
423	0.1011438464
424	0.1010853828
425	0.1009996358
426	0.1009419649
427	0.1008163275
428	0.1007936043
429	0.1007655493
430	0.1007051771
431	0.100622861
432	0.1005668207
433	0.1005116055
434	0.1004893783
435	0.1004455944
436	0.1004293843
437	0.1004135104
438	0.1003918207
439	0.1002707947
440	0.1002538644
441	0.1001958668
442	0.1001747811
443	0.1001317357
444	0.1001072962
445	0.09998973946
446	0.09987487451
447	0.09983310303
448	0.09981680195
449	0.09976040619
450	0.09974443244
451	0.09959846011
452	0.09952234608
453	0.09946988598
454	0.09945410275
455	0.09940247417
456	0.09927760989
457	0.0992377292
458	0.09916369009
459	0.09911313296
460	0.09907413837
461	0.09900222504
462	0.0989526444
463	0.09888281533
464	0.09883392309
465	0.09871162952
466	0.09867359107
467	0.09863615676
468	0.09859931668
469	0.09853131787
470	0.09848386513
471	0.09836417695
472	0.09832800386
473	0.0982924051
474	0.09818106162
475	0.09813477504
476	0.09808919041
477	0.09802284494
478	0.0979778851
479	0.09791345532
480	0.09786911093
481	0.09780653968
482	0.09765372043
483	0.0975877712
484	0.09752677236
485	0.09749305764
486	0.09745987941
487	0.09740066919
488	0.09735776417
489	0.09730025629
490	0.09719366768
491	0.09715131559
492	0.09710960468
493	0.09705364284
494	0.0970125036
495	0.09695814726
496	0.09691757138
497	0.09688963941
498	0.0967786824
499	0.09671690744
500	0.09668558822
501	0.09662617697
502	0.09659582073
503	0.09656594841
504	0.09651246886
505	0.09641142729
506	0.09629126863
507	0.09619397059
508	0.09615494221
509	0.09611650426
510	0.09606485367
511	0.09602694266
512	0.09597677209
513	0.09592808892
514	0.09589064602
515	0.0958433539
516	0.09571242242
517	0.0956570674
518	0.09562867926
519	0.09560074413
520	0.09555455234
521	0.09552072473
522	0.09539442606
523	0.09534965924
524	0.09525727794
525	0.09522128503
526	0.09517767804
527	0.09514218295
528	0.09509982033
529	0.0950648158
